schoolname,ncesid,ncesdistid_admin,ncesdistid_geo,census_id,pp_stloc_raw,pp_fed_raw,pp_total_raw,pp_total_norm_NERDS,flag_nerds,flag_f33,schoolstloc_raw,schoolfed_raw,schooltot_raw,distid_stateassigned,schoolid_stateassigned,distname,address,city,state,zip_code,ncesenroll,enroll_raw,enrollmetric_raw,gradespan,level
Ernest P. Willenberg Special Education Center,062271007766,0622710,0622710,05501905900000,60552,550,61102,NRD,false,1,11020464,100100,11120564,19647330000000,19647336060503,Los Angeles Unified,308 WEYMOUTH AVE.,SAN PEDRO,CA,90732,182,182,CALPADS Fall 1 Submission enrollment,KG-12,4
Esperanza Elementary,062271000451,0622710,0622710,05501905900000,12260,1133,13393,NRD,false,1,9709920,897336,10607256,19647330000000,19647336110969,Los Angeles Unified,680 LITTLE ST.,LOS ANGELES,CA,90017,814,792,CALPADS Fall 1 Submission enrollment,KG-05,2
Esteban Torres East LA Performing Arts Magnet,062271012787,0622710,0622710,05501905900000,20003,1310,21313,NRD,false,1,8201230,537100,8738330,19647330000000,19647330122341,Los Angeles Unified,4211 DOZIER ST.,LOS ANGELES,CA,90063,410,410,CALPADS Fall 1 Submission enrollment,09-12,4
Evergreen Continuation,062271002995,0622710,0622710,05501905900000,17564,1332,18896,NRD,false,1,1282172,97236,1379408,19647330000000,19647331932342,Los Angeles Unified,13101 DRONFIELD AVE.,SYLMAR,CA,91342,73,73,CALPADS Fall 1 Submission enrollment,09-12,4
Fair Avenue Elementary,062271002996,0622710,0622710,05501905900000,13302,1086,14388,NRD,false,1,10109520,825360,10934880,19647330000000,19647336016984,Los Angeles Unified,6501 FAIR AVE.,NORTH HOLLYWOOD,CA,91606,781,760,CALPADS Fall 1 Submission enrollment,KG-05,2
Farmdale Elementary,062271002999,0622710,0622710,05501905900000,17831,1256,19087,NRD,false,1,7471189,526264,7997453,19647330000000,19647336017008,Los Angeles Unified,2660 RUTH SWIGGETT DR.,LOS ANGELES,CA,90032,436,419,CALPADS Fall 1 Submission enrollment,KG-05,2
Fifty-Second Street Elementary,062271003005,0622710,0622710,05501905900000,13878,1059,14937,NRD,false,1,10117062,772011,10889073,19647330000000,19647336017065,Los Angeles Unified,816 W. 51ST ST.,LOS ANGELES,CA,90037,771,729,CALPADS Fall 1 Submission enrollment,KG-05,2
Figueroa Street Elementary,062271003006,0622710,0622710,05501905900000,12638,1297,13935,NRD,false,1,6154706,631639,6786345,19647330000000,19647336017073,Los Angeles Unified,510 W. 111TH ST.,LOS ANGELES,CA,90044,487,487,CALPADS Fall 1 Submission enrollment,KG-05,2
Fletcher Drive Elementary,062271003012,0622710,0622710,05501905900000,15712,1084,16796,NRD,false,1,3535200,243900,3779100,19647330000000,19647336017115,Los Angeles Unified,3350 FLETCHER DR.,LOS ANGELES,CA,90065,243,225,CALPADS Fall 1 Submission enrollment,KG-06,2
Ford Boulevard Elementary,062271003014,0622710,0622710,05501905900000,12457,1124,13581,NRD,false,1,11796779,1064428,12861207,19647330000000,19647336017131,Los Angeles Unified,1112 S. FORD BLVD.,LOS ANGELES,CA,90022,1011,947,CALPADS Fall 1 Submission enrollment,KG-06,2
Forty-Ninth Street Elementary,062271003015,0622710,0622710,05501905900000,12960,1147,14107,NRD,false,1,8644320,765049,9409369,19647330000000,19647336017149,Los Angeles Unified,750 E. 49TH ST.,LOS ANGELES,CA,90011,709,667,CALPADS Fall 1 Submission enrollment,KG-05,2
Frida Kahlo High,062271011629,0622710,0622710,05501905900000,11305,1215,12520,NRD,false,1,1684445,181035,1865480,19647330000000,19647330110668,Los Angeles Unified,1924 S. LOS ANGELES ST.,LOS ANGELES,CA,90011,149,149,CALPADS Fall 1 Submission enrollment,09-12,4
Fries Avenue Elementary,062271003026,0622710,0622710,05501905900000,13640,1140,14780,NRD,false,1,6315320,527820,6843140,19647330000000,19647336017180,Los Angeles Unified,1301 FRIES AVE.,WILMINGTON,CA,90744,487,463,CALPADS Fall 1 Submission enrollment,KG-05,2
Garden Grove Elementary,062271007119,0622710,0622710,05501905900000,12502,1035,13537,NRD,false,1,4600736,380880,4981616,19647330000000,19647336017206,Los Angeles Unified,18141 VALERIO ST.,RESEDA,CA,91335,388,368,CALPADS Fall 1 Submission enrollment,KG-05,2
Garvanza Elementary,062271003038,0622710,0622710,05501905900000,16208,930,17138,NRD,false,1,4878608,279930,5158538,19647330000000,19647336017230,Los Angeles Unified,317 N. AVE. 62,LOS ANGELES,CA,90042,315,301,CALPADS Fall 1 Submission enrollment,KG-06,2
Garza (Carmen Lomas) Primary Center,062271010873,0622710,0622710,05501905900000,20178,1072,21250,NRD,false,1,1997622,106128,2103750,19647330000000,19647330109223,Los Angeles Unified,2750 E. HOSTETTER ST.,LOS ANGELES,CA,90023,115,99,CALPADS Fall 1 Submission enrollment,KG-02,2
Gates Street Elementary,062271003039,0622710,0622710,05501905900000,13509,907,14416,NRD,false,1,8308035,557805,8865840,19647330000000,19647336017248,Los Angeles Unified,3333 MANITOU AVE.,LOS ANGELES,CA,90031,633,615,CALPADS Fall 1 Submission enrollment,KG-05,2
Gault Street Elementary,062271003040,0622710,0622710,05501905900000,15913,1067,16980,NRD,false,1,4837552,324368,5161920,19647330000000,19647336017255,Los Angeles Unified,17000 GAULT ST.,LAKE BALBOA,CA,91406,304,304,CALPADS Fall 1 Submission enrollment,KG-05,2
George Ellery Hale Charter Academy,062271003062,0622710,0622710,05501905900000,10284,310,10594,NRD,false,1,22120884,666810,22787694,19647330000000,19647336061477,Los Angeles Unified,23830 CALIFA ST.,WOODLAND HILLS,CA,91367,2151,2151,CALPADS Fall 1 Submission enrollment,06-08,3
George K. Porter Middle,062271003287,0622710,0622710,05501905900000,11018,960,11978,NRD,false,1,15138732,1319040,16457772,19647330000000,19647336058242,Los Angeles Unified,15960 KINGSBURY ST.,GRANADA HILLS,CA,91344,1374,1374,CALPADS Fall 1 Submission enrollment,06-08,3
George S. Patton Continuation,062271003276,0622710,0622710,05501905900000,17418,1192,18610,NRD,false,1,1201842,82248,1284090,19647330000000,19647331931518,Los Angeles Unified,24514 S. W.ERN AVE.,HARBOR CITY,CA,90710,69,69,CALPADS Fall 1 Submission enrollment,09-12,4
George Washington Carver Middle,062271002902,0622710,0622710,05501905900000,14465,968,15433,NRD,false,1,10935540,731808,11667348,19647330000000,19647336057921,Los Angeles Unified,4410 MCKINLEY AVE.,LOS ANGELES,CA,90011,756,756,CALPADS Fall 1 Submission enrollment,06-08,3
George Washington Preparatory High,062271003444,0622710,0622710,05501905900000,19095,3368,22463,NRD,false,1,15543330,2741552,18284882,19647330000000,19647331939305,Los Angeles Unified,10860 S. DENKER AVE.,LOS ANGELES,CA,90047,814,814,CALPADS Fall 1 Submission enrollment,09-12,4
Germain Academy For Academic Achievement,062271003041,0622710,0622710,05501905900000,12037,744,12781,NRD,false,1,6343499,392088,6735587,19647330000000,19647336017263,Los Angeles Unified,20730 GERMAIN ST.,CHATSWORTH,CA,91311,551,527,CALPADS Fall 1 Submission enrollment,KG-05,2
Gil Garcetti Learning Academy,062271003357,0622710,0622710,05501905900000,12334,1154,13488,NRD,false,1,8892814,832034,9724848,19647330000000,19647336019244,Los Angeles Unified,612 W. 68TH ST.,LOS ANGELES,CA,90044,745,721,CALPADS Fall 1 Submission enrollment,KG-06,2
"Glassell Park ES Science, Technology, Engineering, Arts and Math Magnet",062271003042,0622710,0622710,05501905900000,16130,940,17070,NRD,false,1,5080950,296100,5377050,19647330000000,19647336017271,Los Angeles Unified,2211 W. AVE. 30,LOS ANGELES,CA,90065,338,315,CALPADS Fall 1 Submission enrollment,KG-06,2
Glenn Hammond Curtiss Middle,062271002944,0622710,0622710,05501905900000,16615,964,17579,NRD,false,1,7925355,459828,8385183,19647330000000,19647336066294,Los Angeles Unified,1254 E. HELMICK ST.,CARSON,CA,90746,477,477,CALPADS Fall 1 Submission enrollment,06-08,3
Glenwood Elementary,062271003046,0622710,0622710,05501905900000,17773,1020,18793,NRD,false,1,5118624,293760,5412384,19647330000000,19647336017313,Los Angeles Unified,8001 LEDGE AVE.,SUN VALLEY,CA,91352,307,288,CALPADS Fall 1 Submission enrollment,KG-05,2
Grape Street Elementary,062271003054,0622710,0622710,05501905900000,12457,1192,13649,NRD,false,1,6128844,586464,6715308,19647330000000,19647336017362,Los Angeles Unified,1940 E. 111TH ST.,LOS ANGELES,CA,90059,517,492,CALPADS Fall 1 Submission enrollment,KG-05,2
Gratts Learning Academy for Young Scholars (GLAYS),062271005887,0622710,0622710,05501905900000,12594,1089,13683,NRD,false,1,6259218,541233,6800451,19647330000000,19647336113419,Los Angeles Unified,309 LUCAS AVE.,LOS ANGELES,CA,90017,497,497,CALPADS Fall 1 Submission enrollment,KG-06,2
Griffin Avenue Elementary,062271003057,0622710,0622710,05501905900000,13416,1208,14624,NRD,false,1,5393232,485616,5878848,19647330000000,19647336017396,Los Angeles Unified,2025 GRIFFIN AVE.,LOS ANGELES,CA,90031,426,402,CALPADS Fall 1 Submission enrollment,KG-05,2
Gulf Avenue Elementary,062271003060,0622710,0622710,05501905900000,11255,1110,12365,NRD,false,1,8542545,842490,9385035,19647330000000,19647336017404,Los Angeles Unified,828 W. L ST.,WILMINGTON,CA,90744,783,759,CALPADS Fall 1 Submission enrollment,KG-05,2
Haddon Avenue Elementary,062271003061,0622710,0622710,05501905900000,13511,904,14415,NRD,false,1,10241338,685232,10926570,19647330000000,19647336017412,Los Angeles Unified,10115 HADDON AVE.,PACOIMA,CA,91331,781,758,CALPADS Fall 1 Submission enrollment,KG-05,2
Harbor City Elementary,062271003068,0622710,0622710,05501905900000,12332,1109,13441,NRD,false,1,6597620,593315,7190935,19647330000000,19647336017461,Los Angeles Unified,1508 W. 254TH ST.,HARBOR CITY,CA,90710,554,535,CALPADS Fall 1 Submission enrollment,KG-05,2
Harding Street Elementary,062271003069,0622710,0622710,05501905900000,14194,1046,15240,NRD,false,1,5422108,399572,5821680,19647330000000,19647336017479,Los Angeles Unified,13060 HARDING ST.,SYLMAR,CA,91342,404,382,CALPADS Fall 1 Submission enrollment,KG-05,2
Harmony Elementary,062271010858,0622710,0622710,05501905900000,13126,1156,14282,NRD,false,1,7639332,672792,8312124,19647330000000,19647330106955,Los Angeles Unified,899 E. 42ND ST.,LOS ANGELES,CA,90011,582,582,CALPADS Fall 1 Submission enrollment,KG-05,2
Harry Bridges Span,062271013177,0622710,0622710,05501905900000,10580,1020,11600,NRD,false,1,12738320,1228080,13966400,19647330000000,19647330126581,Los Angeles Unified,1235 BRD. AVE.,WILMINGTON,CA,90744,1204,1204,CALPADS Fall 1 Submission enrollment,KG-08,3
Hart Street Elementary,062271003072,0622710,0622710,05501905900000,12052,1086,13138,NRD,false,1,8593076,774318,9367394,19647330000000,19647336017495,Los Angeles Unified,21040 HART ST.,CANOGA PARK,CA,91303,732,713,CALPADS Fall 1 Submission enrollment,KG-05,2
Harvard Elementary,062271010879,0622710,0622710,05501905900000,15058,1157,16215,NRD,false,1,5827446,447759,6275205,19647330000000,19647330109314,Los Angeles Unified,330 N. HARVARD BLVD.,LOS ANGELES,CA,90004,387,387,CALPADS Fall 1 Submission enrollment,KG-05,2
Hawaiian Avenue Elementary,062271003075,0622710,0622710,05501905900000,14264,1008,15272,NRD,false,1,8501344,600768,9102112,19647330000000,19647336017511,Los Angeles Unified,540 HAWAIIAN AVE.,WILMINGTON,CA,90744,618,596,CALPADS Fall 1 Submission enrollment,KG-05,2
Haynes Charter For Enriched Studies,062271007521,0622710,0622710,05501905900000,12365,406,12771,NRD,false,1,5007825,164430,5172255,19647330000000,19647336017529,Los Angeles Unified,6624 LOCKHURST DR.,WEST HILLS,CA,91307,405,405,CALPADS Fall 1 Submission enrollment,KG-05,2
Henry T. Gage Middle,062271003030,0622710,0622710,05501905900000,11776,1070,12846,NRD,false,1,18123264,1646730,19769994,19647330000000,19647336061469,Los Angeles Unified,2880 E. GAGE AVE.,HUNTINGTON PARK,CA,90255,1539,1539,CALPADS Fall 1 Submission enrollment,06-08,3
Highland Park Continuation,062271003082,0622710,0622710,05501905900000,17160,1162,18322,NRD,false,1,1132560,76692,1209252,19647330000000,19647331931393,Los Angeles Unified,928 N. AVE. 53,LOS ANGELES,CA,90042,66,66,CALPADS Fall 1 Submission enrollment,09-12,4
"Hilda L. Solis Learning Academy School of Technology, Business and Education",062271013101,0622710,0622710,05501905900000,20897,1079,21976,NRD,false,1,5370529,277303,5647832,19647330000000,19647330126474,Los Angeles Unified,319 N. HUMPHREYS AVE.,LOS ANGELES,CA,90022,257,257,CALPADS Fall 1 Submission enrollment,09-12,4
Hillery T. Broadous Elementary,062271003008,0622710,0622710,05501905900000,16210,976,17186,NRD,false,1,7537650,453840,7991490,19647330000000,19647336017081,Los Angeles Unified,12561 FILMORE ST.,PACOIMA,CA,91331,488,465,CALPADS Fall 1 Submission enrollment,KG-05,2
Hollenbeck Middle,062271003087,0622710,0622710,05501905900000,11898,1089,12987,NRD,false,1,13301964,1217502,14519466,19647330000000,19647336058051,Los Angeles Unified,2510 E. SIXTH ST.,LOS ANGELES,CA,90023,1118,1118,CALPADS Fall 1 Submission enrollment,06-08,3
Hollywood Elementary,062271010877,0622710,0622710,05501905900000,23499,1095,24594,NRD,false,1,2796381,130305,2926686,19647330000000,19647330109298,Los Angeles Unified,1115 TAMARIND AVE.,LOS ANGELES,CA,90038,130,119,CALPADS Fall 1 Submission enrollment,KG-04,2
Hooper Avenue Elementary,062271003091,0622710,0622710,05501905900000,11654,1167,12821,NRD,false,1,11059646,1107483,12167129,19647330000000,19647336017628,Los Angeles Unified,1225 E. 52ND ST.,LOS ANGELES,CA,90011,949,949,CALPADS Fall 1 Submission enrollment,01-05,2
Horace Mann UCLA Community,062271014112,0622710,0622710,05501905900000,21370,1157,22527,NRD,false,1,9231840,499824,9731664,19647330000000,19647330135681,Los Angeles Unified,7001 S. SAINT ANDREWS PL.,LOS ANGELES,CA,90047,432,432,CALPADS Fall 1 Submission enrollment,KG-12,4
Hubbard Street Elementary,062271003094,0622710,0622710,05501905900000,11859,1069,12928,NRD,false,1,6569886,592226,7162112,19647330000000,19647336017644,Los Angeles Unified,13325 HUBBARD ST.,SYLMAR,CA,91342,578,554,CALPADS Fall 1 Submission enrollment,KG-05,2
Humanities and Arts (HARTS) Academy of Los Angeles,062271013579,0622710,0622710,05501905900000,12699,1144,13843,NRD,false,1,5168493,465608,5634101,19647330000000,19647330127787,Los Angeles Unified,24300 S. W.ERN AVE.,HARBOR CITY,CA,90710,407,407,CALPADS Fall 1 Submission enrollment,09-12,4
Humphreys Avenue Elementary,062271003096,0622710,0622710,05501905900000,11797,1030,12827,NRD,false,1,6972027,608730,7580757,19647330000000,19647336017651,Los Angeles Unified,500 S. HUMPHREYS AVE.,LOS ANGELES,CA,90022,612,591,CALPADS Fall 1 Submission enrollment,KG-05,2
Huntington Drive Elementary,062271003097,0622710,0622710,05501905900000,19251,1166,20417,NRD,false,1,5717547,346302,6063849,19647330000000,19647336017669,Los Angeles Unified,4435 N. HNTNGTN DR.,LOS ANGELES,CA,90032,311,297,CALPADS Fall 1 Submission enrollment,KG-06,2
Ivanhoe Elementary,062271003103,0622710,0622710,05501905900000,10278,398,10676,NRD,false,1,4779270,185070,4964340,19647330000000,19647336017685,Los Angeles Unified,2828 HERKIMER ST.,LOS ANGELES,CA,90039,465,465,CALPADS Fall 1 Submission enrollment,KG-05,2
Jane Addams Continuation,062271002801,0622710,0622710,05501905900000,12311,833,13144,NRD,false,1,1563497,105791,1669288,19647330000000,19647331932334,Los Angeles Unified,16341 DONMETZ ST.,GRANADA HILLS,CA,91344,127,127,CALPADS Fall 1 Submission enrollment,09-12,4
John Adams Middle,062271002800,0622710,0622710,05501905900000,13657,1068,14725,NRD,false,1,12100102,946248,13046350,19647330000000,19647336057855,Los Angeles Unified,151 W. 30TH ST.,LOS ANGELES,CA,90007,886,886,CALPADS Fall 1 Submission enrollment,06-08,3
John B. Monlux Elementary,062271003191,0622710,0622710,05501905900000,12844,1003,13847,NRD,false,1,8810984,688058,9499042,19647330000000,19647336018196,Los Angeles Unified,6051 BELLAIRE AVE.,NORTH HOLLYWOOD,CA,91606,686,686,CALPADS Fall 1 Submission enrollment,KG-05,2
John Burroughs Middle,062271002875,0622710,0622710,05501905900000,10037,970,11007,NRD,false,1,17123122,1654820,18777942,19647330000000,19647336061410,Los Angeles Unified,600 S. MCCADDEN PL.,LOS ANGELES,CA,90005,1706,1706,CALPADS Fall 1 Submission enrollment,06-08,3
John C. Fremont Senior High,062271003023,0622710,0622710,05501905900000,11802,1311,13113,NRD,false,1,23367960,2595780,25963740,19647330000000,19647331933118,Los Angeles Unified,7676 S. SAN PEDRO ST.,LOS ANGELES,CA,90003,1980,1980,CALPADS Fall 1 Submission enrollment,09-12,4
John F. Kennedy High,062271003108,0622710,0622710,05501905900000,13625,1147,14772,NRD,false,1,32005125,2694303,34699428,19647330000000,19647331939941,Los Angeles Unified,11254 GOTHIC AVE.,GRANADA HILLS,CA,91344,2349,2349,CALPADS Fall 1 Submission enrollment,09-12,4
John H. Liechty Middle,062271012144,0622710,0622710,05501905900000,14607,1091,15698,NRD,false,1,13818222,1032086,14850308,19647330000000,19647330114199,Los Angeles Unified,650 S. UNION AVE.,LOS ANGELES,CA,90017,946,946,CALPADS Fall 1 Submission enrollment,06-08,3
John Marshall Senior High,062271003171,0622710,0622710,05501905900000,11148,965,12113,NRD,false,1,26543388,2297665,28841053,19647330000000,19647331935568,Los Angeles Unified,3939 TRACY ST.,LOS ANGELES,CA,90027,2381,2381,CALPADS Fall 1 Submission enrollment,09-12,4
John Muir Middle,062271003204,0622710,0622710,05501905900000,15801,1231,17032,NRD,false,1,12056163,939253,12995416,19647330000000,19647336058176,Los Angeles Unified,5929 S. VERMONT AVE.,LOS ANGELES,CA,90044,763,763,CALPADS Fall 1 Submission enrollment,06-08,3
John R. Wooden High,062271002806,0622710,0622710,05501905900000,17160,1528,18688,NRD,false,1,1698840,151272,1850112,19647330000000,19647331930940,Los Angeles Unified,18741 ELKWOOD ST.,RESEDA,CA,91335,99,99,CALPADS Fall 1 Submission enrollment,09-12,4
Judith F. Baca Arts Academy,062271012632,0622710,0622710,05501905900000,11357,1210,12567,NRD,false,1,8052113,857890,8910003,19647330000000,19647330122176,Los Angeles Unified,1536 E. 89TH ST.,LOS ANGELES,CA,90002,733,709,CALPADS Fall 1 Submission enrollment,KG-06,2
Julie Korenstein Elementary,062271012724,0622710,0622710,05501905900000,13355,1131,14486,NRD,false,1,5689230,481806,6171036,19647330000000,19647330122192,Los Angeles Unified,7650 BEN AVE.,NORTH HOLLYWOOD,CA,91605,426,426,CALPADS Fall 1 Submission enrollment,KG-05,2
Justice Street Academy Charter,062271003111,0622710,0622710,05501905900000,11394,419,11813,NRD,false,1,4443660,163410,4607070,19647330000000,19647336017693,Los Angeles Unified,23350 JUST ST.,WEST HILLS,CA,91304,390,390,CALPADS Fall 1 Submission enrollment,KG-05,2
Kenter Canyon Elementary Charter,062271003113,0622710,0622710,05501905900000,10269,385,10654,NRD,false,1,5719833,214445,5934278,19647330000000,19647336017701,Los Angeles Unified,645 N. KENTER AVE.,LOS ANGELES,CA,90049,557,557,CALPADS Fall 1 Submission enrollment,KG-05,2
Kester Avenue Elementary,062271003115,0622710,0622710,05501905900000,10125,637,10762,NRD,false,1,10499625,660569,11160194,19647330000000,19647336017727,Los Angeles Unified,5353 KESTER AVE.,VAN NUYS,CA,91411,1037,1037,CALPADS Fall 1 Submission enrollment,KG-05,2
Kingsley Elementary,062271010885,0622710,0622710,05501905900000,14541,1288,15829,NRD,false,1,5598285,495880,6094165,19647330000000,19647330109405,Los Angeles Unified,5200 W. VIRGINIA AVE.,LOS ANGELES,CA,90029,385,385,CALPADS Fall 1 Submission enrollment,KG-05,2
Kittridge Street Elementary,062271003118,0622710,0622710,05501905900000,11153,1068,12221,NRD,false,1,8844329,846924,9691253,19647330000000,19647336017735,Los Angeles Unified,13619 KITTRIDGE ST.,VAN NUYS,CA,91401,817,793,CALPADS Fall 1 Submission enrollment,KG-05,2
La Salle Avenue Elementary,062271003120,0622710,0622710,05501905900000,16674,1214,17888,NRD,false,1,6052662,440682,6493344,19647330000000,19647336017750,Los Angeles Unified,8715 LA SALLE AVE.,LOS ANGELES,CA,90047,385,363,CALPADS Fall 1 Submission enrollment,KG-05,2
Lanai Road Elementary,062271003121,0622710,0622710,05501905900000,10779,379,11158,NRD,false,1,6187146,217546,6404692,19647330000000,19647336017768,Los Angeles Unified,4241 LANAI RD.,ENCINO,CA,91436,574,574,CALPADS Fall 1 Submission enrollment,KG-05,2
Lankershim Elementary,062271003124,0622710,0622710,05501905900000,15299,930,16229,NRD,false,1,5660630,344100,6004730,19647330000000,19647336017784,Los Angeles Unified,5250 BAKMAN AVE.,NORTH HOLLYWOOD,CA,91601,389,370,CALPADS Fall 1 Submission enrollment,KG-05,2
Laurel Elementary,062271003127,0622710,0622710,05501905900000,19831,1131,20962,NRD,false,1,5255215,299715,5554930,19647330000000,19647336017818,Los Angeles Unified,925 N. HAYWORTH AVE.,LOS ANGELES,CA,90046,265,265,CALPADS Fall 1 Submission enrollment,KG-08,3
Leapwood Avenue Elementary,062271003130,0622710,0622710,05501905900000,16871,964,17835,NRD,false,1,4251492,242928,4494420,19647330000000,19647336017826,Los Angeles Unified,19302 LEAPWOOD AVE.,CARSON,CA,90746,263,252,CALPADS Fall 1 Submission enrollment,KG-05,2
Lemay Street Elementary,062271003132,0622710,0622710,05501905900000,14244,873,15117,NRD,false,1,5612136,343962,5956098,19647330000000,19647336017842,Los Angeles Unified,17520 VANOWEN ST.,LAKE BALBOA,CA,91406,394,394,CALPADS Fall 1 Submission enrollment,KG-05,2
Lenicia B. Weemes Elementary,062271003446,0622710,0622710,05501905900000,14646,1004,15650,NRD,false,1,7147248,489952,7637200,19647330000000,19647336019483,Los Angeles Unified,1260 W. 36TH PL.,LOS ANGELES,CA,90007,511,488,CALPADS Fall 1 Submission enrollment,KG-05,2
Liggett Street Elementary,062271003136,0622710,0622710,05501905900000,13051,1050,14101,NRD,false,1,8744170,703500,9447670,19647330000000,19647336017867,Los Angeles Unified,9373 MOONBEAM AVE.,PANORAMA CITY,CA,91402,706,670,CALPADS Fall 1 Submission enrollment,KG-05,2
Limerick Avenue Elementary,062271003138,0622710,0622710,05501905900000,11334,1018,12352,NRD,false,1,8715846,782842,9498688,19647330000000,19647336017883,Los Angeles Unified,8530 LIMERICK AVE.,CANOGA PARK,CA,91306,769,769,CALPADS Fall 1 Submission enrollment,KG-05,2
Lomita Math/Science/Technology Magnet,062271003145,0622710,0622710,05501905900000,10934,882,11816,NRD,false,1,10256092,827316,11083408,19647330000000,19647336017933,Los Angeles Unified,2211 247TH ST.,LOMITA,CA,90717,938,938,CALPADS Fall 1 Submission enrollment,KG-05,2
Loreto Street Elementary,062271003148,0622710,0622710,05501905900000,14743,1290,16033,NRD,false,1,4422900,387000,4809900,19647330000000,19647336017958,Los Angeles Unified,3408 ARROYO SECO AVE.,LOS ANGELES,CA,90065,321,300,CALPADS Fall 1 Submission enrollment,KG-05,2
Lorne Street Elementary,062271003150,0622710,0622710,05501905900000,12830,1027,13857,NRD,false,1,6774240,542256,7316496,19647330000000,19647336017966,Los Angeles Unified,17440 LORNE ST.,NORTHRIDGE,CA,91325,528,528,CALPADS Fall 1 Submission enrollment,KG-05,2
Los Angeles Academy Middle,062271007523,0622710,0622710,05501905900000,13731,1179,14910,NRD,false,1,16106463,1382967,17489430,19647330000000,19647336115794,Los Angeles Unified,644 E. 56TH ST.,LOS ANGELES,CA,90011,1173,1173,CALPADS Fall 1 Submission enrollment,06-08,3
Los Angeles High School of the Arts,062271012270,0622710,0622710,05501905900000,12767,1106,13873,NRD,false,1,5630247,487746,6117993,19647330000000,19647330117747,Los Angeles Unified,701 S. CATALINA ST.,LOS ANGELES,CA,90005,441,441,CALPADS Fall 1 Submission enrollment,09-12,4
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,062271003152,0622710,0622710,05501905900000,10193,901,11094,NRD,false,1,4862061,429777,5291838,19647330000000,19647336017974,Los Angeles Unified,1740 N. NEW HAMPSHIRE AVE.,LOS ANGELES,CA,90027,477,477,CALPADS Fall 1 Submission enrollment,KG-06,2
Lovelia P. Flournoy Elementary,062271003239,0622710,0622710,05501905900000,13983,1010,14993,NRD,false,1,6795738,490860,7286598,19647330000000,19647336018485,Los Angeles Unified,1630 E. 111TH ST.,LOS ANGELES,CA,90059,510,486,CALPADS Fall 1 Submission enrollment,KG-05,2
Loyola Village Fine And Performing Arts Magnet,062271003153,0622710,0622710,05501905900000,14018,897,14915,NRD,false,1,4934336,315744,5250080,19647330000000,19647336017982,Los Angeles Unified,8821 VILLANOVA AVE.,LOS ANGELES,CA,90045,352,352,CALPADS Fall 1 Submission enrollment,KG-05,2
Lucille Roybal-Allard Elementary,062271013089,0622710,0622710,05501905900000,12806,1045,13851,NRD,false,1,7068912,576840,7645752,19647330000000,19647330126391,Los Angeles Unified,3232 SATURN AVE.,HUNTINGTON PARK,CA,90255,575,552,CALPADS Fall 1 Submission enrollment,KG-06,2
Luther Burbank Middle,062271002873,0622710,0622710,05501905900000,12319,1003,13322,NRD,false,1,12996545,1058165,14054710,19647330000000,19647336057897,Los Angeles Unified,6460 N. FIGUEROA ST.,LOS ANGELES,CA,90042,1055,1055,CALPADS Fall 1 Submission enrollment,06-08,3
Madison Elementary,062271011625,0622710,0622710,05501905900000,10483,1054,11537,NRD,false,1,6184970,621860,6806830,19647330000000,19647330109413,Los Angeles Unified,9820 MADISON AVE.,SOUTH GATE,CA,90280,614,590,CALPADS Fall 1 Submission enrollment,KG-05,2
Magnolia Avenue Elementary,062271003157,0622710,0622710,05501905900000,12160,1154,13314,NRD,false,1,10226560,970514,11197074,19647330000000,19647336017990,Los Angeles Unified,1626 S. ORCHARD AVE.,LOS ANGELES,CA,90006,841,841,CALPADS Fall 1 Submission enrollment,KG-06,2
Manchester Avenue Elementary,062271003160,0622710,0622710,05501905900000,12459,1314,13773,NRD,false,1,9506217,1002582,10508799,19647330000000,19647336018022,Los Angeles Unified,661 W. 87TH ST.,LOS ANGELES,CA,90044,763,763,CALPADS Fall 1 Submission enrollment,01-06,2
Manhattan Place Elementary,062271003161,0622710,0622710,05501905900000,16895,1249,18144,NRD,false,1,5828775,430905,6259680,19647330000000,19647336018030,Los Angeles Unified,1850 W. 96TH ST.,LOS ANGELES,CA,90047,357,345,CALPADS Fall 1 Submission enrollment,KG-05,2
Manual Arts Senior High,062271003163,0622710,0622710,05501905900000,14998,1381,16379,NRD,false,1,20082322,1849159,21931481,19647330000000,19647331935519,Los Angeles Unified,4131 S. VERMONT AVE.,LOS ANGELES,CA,90037,1339,1339,CALPADS Fall 1 Submission enrollment,09-12,4
Maple Primary Center,062271010855,0622710,0622710,05501905900000,16373,1090,17463,NRD,false,1,3159989,210370,3370359,19647330000000,19647330106922,Los Angeles Unified,3601 S. MAPLE AVE.,LOS ANGELES,CA,90011,193,193,CALPADS Fall 1 Submission enrollment,KG-01,1
Marguerite Poindexter LaMotte Elementary,062271013119,0622710,0622710,05501905900000,12019,1021,13040,NRD,false,1,6430165,546235,6976400,19647330000000,19647330126417,Los Angeles Unified,4410 ORCHARD AVE.,LOS ANGELES,CA,90037,535,535,CALPADS Fall 1 Submission enrollment,KG-05,2
Marianna Avenue Elementary,062271003165,0622710,0622710,05501905900000,14355,1141,15496,NRD,false,1,4564890,362838,4927728,19647330000000,19647336018055,Los Angeles Unified,4215 E. GLEASON ST.,LOS ANGELES,CA,90063,335,318,CALPADS Fall 1 Submission enrollment,KG-06,2
